year,Africa,Asia,Europe,North_America,South_America,Ocieana,World
1918,24724672,166873390,1394110300,1868648400,10999328,27907988,3493264100
1919,25442816,183556770,1183809300,1596982000,12900944,26314662,3029006600
1920,28051584,175426770,1373714700,1899729300,14641344,29863852,3521427500
1921,27985632,171794930,1253162200,1595440600,14428832,27284434,3090096600
1922,23969888,181275740,1397922800,1591500300,17162176,28483052,3240313900
1923,29044528,199207040,1335736800,2062964200,19759952,29520592,3676233200
1924,30631040,213276580,1541567200,1845232000,24332624,32180746,3687220200
1925,32184576,215441520,1526838700,1892463700,26384464,33720956,3727033600
1926,34437936,218809420,1308494000,2038048900,27381072,33859450,3661030400
1927,33840704,236791950,1670274800,1989375000,30081440,35764830,3996128800
1928,34770320,248391970,1676897500,1953542300,31427830,33733316,3978763300
1929,35801616,258343380,1820403000,2090135200,34424330,31800364,4270907600
1930,33695670,257919020,1721389300,1865707500,29122492,30764512,3938598400
1931,29463712,248672340,1606790700,1582640900,25545738,26789996,3519903200
1932,26622752,248757810,1493113600,1349432400,28960146,26589732,3173476400
1933,28491132,273053950,1537479300,1441267700,32898528,28327570,3341518300
1934,32539280,309595840,1682513900,1542143700,37257450,30191492,3634241800
1935,35909544,337246800,1767221900,1600230000,41081412,33108736,3814798300
1936,39015950,364124260,1876986400,1830100700,39596510,35690024,4185513700
1937,41844264,385461900,2037087600,1921540100,50161732,38137220,4474233000
1938,44013164,394693250,2046506900,1637472500,46272796,37942420,4206901000
1939,46852930,418811070,2094696600,1801380900,47060380,42445464,4451247000
1940,49649184,471755680,2228871200,2020247700,50716700,40105132,4861346000
1941,54023456,478348770,2143799000,2199555600,50752570,44335188,4970814500
1942,58822884,447379940,1997100000,2360994000,48166196,47122844,4959586000
1943,60119628,440089820,2003704800,2442646500,48569504,46564212,5041694000
1944,66632910,440538900,1890189300,2620185000,53866372,46496400,5117908500
1945,67527180,328069900,1234279600,2528343300,54137150,44779228,4257136000
1946,68159370,315584400,1657621400,2437710600,118776020,48271880,4646123500
1947,67934744,380350000,1908460500,2676701700,62107070,50227836,5145782000
1948,71733140,383931260,2056942600,2790326800,69504090,52515016,5424953000
1949,77323530,382588380,2243740200,2352856000,70824630,53672830,5181006000
1950,94868000,400538660,2383384000,2744660700,112569750,64713932,5929342000
1951,101125270,454912480,2630270000,2840638500,131276180,69779190,6381405700
1952,110325210,504556450,2714044400,2768157700,141463470,72499576,6467437000
1953,112007010,540103200,2791584800,2831903700,140631970,72268020,6650861600
1954,117536136,591870460,2970115000,2718188000,151041460,77804776,6789497300
1955,129402480,674600200,3233784800,2966196000,170065740,82445600,7443861000
1956,135106240,749081200,3445350100,3123996700,184167710,86729070,7925980700
